Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Fix_quality
1666975212.3154154,0,60012,0,GPS1_Frame,42.34140000000001,-71.08656333333333,21.1,328118.9516090941,4689791.118287749,19,T,1
1666975213.312136,0,60013,0,GPS1_Frame,42.34142666666666,-71.08653666666667,21.9,328121.22103685245,4689794.025511669,19,T,1
1666975214.311789,0,60014,0,GPS1_Frame,42.341458333333335,-71.08649833333334,22.5,328124.46517025516,4689797.464364371,19,T,1
1666975215.315144,0,60015,0,GPS1_Frame,42.34149166666666,-71.08645333333334,22.6,328128.2630319181,4689801.07481291,19,T,1
1666975216.3138304,0,60016,0,GPS1_Frame,42.34153666666666,-71.086405,23.2,328132.3672733448,4689805.974020491,19,T,1
1666975217.3125172,0,60017,0,GPS1_Frame,42.34158166666666,-71.08634833333333,23.2,328137.1579957175,4689810.856385789,19,T,1
1666975218.3091674,0,60018,0,GPS1_Frame,42.34163333333333,-71.086285,23.3,328142.51606435096,4689816.465561875,19,T,1
1666975219.3114648,0,60019,0,GPS1_Frame,42.34169166666667,-71.08621333333333,23.4,328148.5787733565,4689822.798181295,19,T,1
1666975220.3130944,0,60020,0,GPS1_Frame,42.34175666666667,-71.08613666666666,23.8,328155.0715251551,4689829.860982905,19,T,1
1666975221.310952,0,60021,0,GPS1_Frame,42.341825,-71.086055,23.9,328161.9852354947,4689837.283826371,19,T,1
1666975222.3127298,0,60022,0,GPS1_Frame,42.34189333333334,-71.08597166666667,23.8,328169.03622808494,4689844.703308009,19,T,1
1666975223.311704,0,60023,0,GPS1_Frame,42.34196166666667,-71.08588666666667,23.4,328176.22450247296,4689852.119428221,19,T,1
1666975224.3133276,0,60024,0,GPS1_Frame,42.34203333333333,-71.0858,22.9,328183.55913816823,4689859.902328883,19,T,1
1666975225.311646,0,60025,0,GPS1_Frame,42.34210666666666,-71.08571,22.4,328191.17288997106,4689867.863571804,19,T,1
1666975226.3134396,0,60026,0,GPS1_Frame,42.342185,-71.085615,21.9,328199.21213152143,4689876.369931601,19,T,1
1666975227.3127203,0,60027,0,GPS1_Frame,42.342265,-71.08551833333333,21.4,328207.3931890958,4689885.058003319,19,T,1
1666975228.3135803,0,60028,0,GPS1_Frame,42.342346666666664,-71.08541833333334,20.9,328215.85335718776,4689893.924420018,19,T,1
1666975229.3152585,0,60029,0,GPS1_Frame,42.34243,-71.08531666666666,20.3,328224.45533864514,4689902.972549911,19,T,1
1666975230.3144696,0,60030,0,GPS1_Frame,42.342516666666675,-71.08521166666667,19.6,328233.3409662815,4689912.3840971505,19,T,1
1666975231.3131716,0,60031,0,GPS1_Frame,42.34260833333333,-71.08510333333334,19.4,328242.51477614086,4689922.344133499,19,T,1
1666975232.308467,0,60032,0,GPS1_Frame,42.34270166666667,-71.08498666666667,19.2,328252.379572986,4689932.472418372,19,T,1
1666975233.3108003,0,60033,0,GPS1_Frame,42.342796666666665,-71.08487166666667,19.1,328262.1115851222,4689942.789153718,19,T,1
1666975234.3089063,0,60034,0,GPS1_Frame,42.34289833333334,-71.08475333333334,19.3,328272.13630908076,4689953.839452195,19,T,1
1666975235.308733,0,60035,0,GPS1_Frame,42.343026666666674,-71.08463666666667,20.0,328282.09630834096,4689967.854262371,19,T,1
1666975236.3113341,0,60036,0,GPS1_Frame,42.34311833333333,-71.08452833333334,19.2,328291.2699792183,4689977.814359205,19,T,1
1666975237.3124146,0,60037,0,GPS1_Frame,42.343201666666666,-71.084415,19.0,328300.8328204241,4689986.839016278,19,T,1
1666975238.3111563,0,60038,0,GPS1_Frame,42.343289999999996,-71.08429500000001,18.7,328310.9584219822,4689996.405435615,19,T,1
1666975239.3109944,0,60039,0,GPS1_Frame,42.343383333333335,-71.084175,18.6,328321.09760583856,4690006.527081167,19,T,1
1666975240.3108811,0,60040,0,GPS1_Frame,42.34347833333333,-71.08405333333333,18.5,328331.37859025894,4690016.830446218,19,T,1
1666975241.3138297,0,60041,0,GPS1_Frame,42.34357333333334,-71.08393666666666,18.8,328341.2476660115,4690027.1439207,19,T,1
1666975242.3117132,0,60042,0,GPS1_Frame,42.34366333333334,-71.08382333333334,19.3,328350.828520265,4690036.9089258015,19,T,1
1666975243.3138447,0,60043,0,GPS1_Frame,42.34374666666666,-71.08371666666667,19.2,328359.84203563654,4690045.947119006,19,T,1
1666975244.314504,0,60044,0,GPS1_Frame,42.34382333333333,-71.083615,18.9,328368.42550941266,4690054.25513373,19,T,1
1666975245.3134637,0,60045,0,GPS1_Frame,42.343895,-71.08352,18.5,328376.4461886098,4690062.02140361,19,T,1
1666975246.3157268,0,60046,0,GPS1_Frame,42.34396166666667,-71.08343333333333,18.1,328383.7667848205,4690069.249291014,19,T,1
1666975247.3161683,0,60047,0,GPS1_Frame,42.344024999999995,-71.08335000000001,17.8,328390.80371258495,4690076.113772343,19,T,1
